sale_date,product_id,quantity,sales_price_tax,regular_price_tax,sales_price,regular_price,purchase_price
2021-04-22,134358,1,38956.0,46656.0,32463.0,38880.0,30430.0
2021-04-22,136250,10,990.0,2767.0,825.0,2305.5583,980.0
2021-04-22,143220,1,2490.0,5544.0,2075.0,4620.3704,1712.49
2021-04-22,145377,9,1190.0,2100.0,992.0,1750.0,860.0
2021-04-22,154553,1,19823.0,23322.0,16519.0,19435.1852,15754.5
2021-04-22,156474,1,24990.0,34989.0,20825.0,29157.4074,20000.0
2021-04-22,156866,11,27990.0,38878.0,23325.0,32398.1481,22419.9999
2021-04-22,157316,2,3790.5,7767.0,3158.5,6472.2222,2829.0
2021-04-22,157317,1,4990.0,11100.0,4158.0,9250.0,3516.0
2021-04-22,157318,6,4990.0,12211.0,4158.0,10175.9259,3481.2
2021-04-22,161147,3,3749.0,4999.0,3124.0,4165.7407,2200.0
2021-04-23,103851,1,1190.0,1190.0,992.0,991.6667,773.5026
2021-04-23,107645,1,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-04-23,110853,5,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-04-23,110908,1,5741.0,7656.0,4784.0,6379.6333,3993.0
2021-04-23,112377,1,992.0,1322.0,827.0,1101.8519,644.813
2021-04-23,112437,2,7499.0,9443.0,6249.0,7869.4444,5091.5697
2021-04-23,112582,2,23990.0,32211.0,19992.0,26842.5917,18909.0
